mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-let-7a-5p,NM_002608,PDGFB,76,116,0.846153846154,-22.6,1,1.137074e-05,0.25,0.0,0.0,-3.793324837357118,15,18,9,5UTR,MIRT760973,1,1
hsa-let-7a-3p,NM_002608,PDGFB,1825,1843,0.846153846154,-17.8,1,0.00161002,0.485,0.0,0.0,-9.59801268497865,15,18,7,3UTR,,0,0
hsa-let-7b-5p,NM_002608,PDGFB,2274,2297,0.923076923077,-25.5,1,5.439747e-07,0.324,0.0,0.0,-5.180080914529843,18,23,9,3UTR,MIRT760986,1,1
hsa-let-7b-3p,NM_002608,PDGFB,1825,1843,0.846153846154,-18.7,1,0.00161002,0.485,0.0,0.0,-10.654402343224413,14,18,7,3UTR,,0,0
hsa-let-7c-5p,NM_002608,PDGFB,2274,2297,0.846153846154,-22.9,1,5.439747e-07,0.324,0.0,0.0,-5.180080914529843,18,23,9,3UTR,MIRT760999,1,1
hsa-let-7c-5p,NM_002608,PDGFB,99,116,0.846153846154,-22.3,1,1.137074e-05,0.25,0.0,0.0,-3.793324837357118,15,17,9,5UTR,MIRT760999,1,1
hsa-let-7c-3p,NM_002608,PDGFB,2776,2806,0.846153846154,-20.8,1,6.396428e-07,0.485,0.0,0.0,-5.529863923972706,17,25,12,3UTR,,0,0
hsa-let-7d-5p,NM_002608,PDGFB,76,116,0.846153846154,-24.7,1,1.137074e-05,0.25,0.0,0.0,-3.793324837357118,15,18,9,5UTR,MIRT761010,1,1
hsa-let-7d-3p,NM_002608,PDGFB,1816,1843,1.0,-20.7,1,0.00161002,0.485,0.0,0.0,-8.82806429066934,15,19,8,CDS,,0,0
hsa-let-7e-3p,NM_002608,PDGFB,2986,3019,0.846153846154,-20.2,1,0.004959597,0.412,0.0,0.0,-3.937574446201665,22,33,7,3UTR,,0,0
hsa-let-7e-3p,NM_002608,PDGFB,1817,1843,0.846153846154,-19.9,1,0.00161002,0.485,0.0,0.0,-8.043048593878694,19,26,8,CDS,,0,0
hsa-let-7f-1-3p,NM_002608,PDGFB,1825,1843,1.0,-18.3,1,0.00161002,0.485,0.0,0.0,-9.59801268497865,15,18,7,3UTR,,0,0
hsa-let-7f-2-3p,NM_002608,PDGFB,1799,1843,0.923076923077,-20.6,1,0.00161002,0.485,0.0,0.0,-9.59801268497865,15,19,7,CDS,,0,0
hsa-miR-15a-3p,NM_002608,PDGFB,922,940,0.846153846154,-24.4,1,1.245755e-06,0.147,0.0,0.0,-13.937992785408532,12,18,8,5UTR,,0,0
hsa-miR-16-1-3p,NM_002608,PDGFB,1823,1843,1.0,-18.4,0,0.00161002,0.485,0.0,0.0,-19.92788395238096,14,20,7,3UTR,,0,0
hsa-miR-17-5p,NM_002608,PDGFB,1130,1152,0.846153846154,-25.0,1,4.753018e-05,0.382,0.0,0.0,-13.613843412376458,17,22,9,CDS,MIRT492782,1,0
