,miRNA,G1,G1 Target Score,G2,G2 Target Score,Average
0,hsa-miR-3613-3p,SLC20A2,99,XPR1,72,85
1,hsa-miR-16-5p,SLC20A2,92,XPR1,59,75
2,hsa-miR-15b-5p,SLC20A2,92,XPR1,59,75
3,hsa-miR-15a-5p,SLC20A2,92,XPR1,59,75
4,hsa-miR-195-5p,SLC20A2,92,XPR1,59,75
5,hsa-miR-5585-5p,SLC20A2,91,XPR1,62,76
6,hsa-miR-6838-5p,SLC20A2,90,XPR1,59,74
7,hsa-miR-497-5p,SLC20A2,90,XPR1,59,74
8,hsa-miR-424-5p,SLC20A2,90,XPR1,59,74
9,hsa-miR-6878-5p,SLC20A2,88,XPR1,94,91
10,hsa-miR-484,SLC20A2,87,XPR1,58,72
11,hsa-miR-3155a,SLC20A2,85,XPR1,54,69
12,hsa-miR-3155b,SLC20A2,85,XPR1,54,69
13,hsa-miR-12136,SLC20A2,80,XPR1,96,88
14,hsa-miR-513c-3p,SLC20A2,75,XPR1,68,71
15,hsa-miR-193a-3p,SLC20A2,75,XPR1,52,63
16,hsa-miR-193b-3p,SLC20A2,75,XPR1,52,63
17,hsa-miR-513a-3p,SLC20A2,75,XPR1,68,71
18,hsa-miR-3606-3p,SLC20A2,74,XPR1,68,71
19,hsa-miR-6743-5p,SLC20A2,70,XPR1,63,66
20,hsa-miR-4688,SLC20A2,70,XPR1,62,66
21,hsa-miR-6810-3p,SLC20A2,69,XPR1,53,61
22,hsa-miR-6131,SLC20A2,69,XPR1,59,64
23,hsa-miR-548ao-5p,SLC20A2,68,XPR1,75,71
24,hsa-miR-548ax,SLC20A2,68,XPR1,75,71
25,hsa-miR-3163,SLC20A2,65,XPR1,74,69
26,hsa-miR-4517,SLC20A2,65,XPR1,74,69
27,hsa-miR-3148,SLC20A2,58,XPR1,93,75
28,hsa-miR-200a-3p,SLC20A2,53,XPR1,92,72
29,hsa-miR-141-3p,SLC20A2,53,XPR1,92,72
