mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-let-7a-5p,NM_004736,XPR1,863,882,0.923076923077,-19.6,1,0.0005032189,0.471,0.0,0.0,-8.29127580885367,16,19,11,CDS,,0,0
hsa-let-7a-5p,NM_004736,XPR1,1910,1953,0.923076923077,-19.6,1,0.04037745,0.574,0.0,0.0,-4.993964104447428,18,23,8,CDS,,0,0
hsa-let-7a-2-3p,NM_004736,XPR1,5313,5332,0.923076923077,-21.1,1,6.799104e-05,0.5,0.0,0.0,-13.970053986410612,17,19,10,3UTR,,0,0
hsa-let-7a-2-3p,NM_004736,XPR1,2853,2871,0.923076923077,-19.6,0,7.504164e-05,0.632,0.0,0.0,-18.804009048041376,13,18,6,3UTR,,0,0
hsa-let-7b-5p,NM_004736,XPR1,2339,2364,1.0,-24.3,1,0.1894182,0.544,0.0,0.0,-6.106959766537749,20,25,8,3UTR,,0,0
hsa-let-7b-5p,NM_004736,XPR1,863,882,0.923076923077,-22.3,1,0.0005032189,0.471,0.0,0.0,-8.29127580885367,17,19,11,CDS,,0,0
hsa-let-7b-5p,NM_004736,XPR1,1929,1953,1.0,-21.0,1,0.04037745,0.574,0.0,0.0,-4.993964104447428,19,24,8,CDS,,0,0
hsa-let-7b-3p,NM_004736,XPR1,5313,5329,0.923076923077,-22.0,1,2.972508e-05,0.485,0.0,0.0,-17.245452033350368,15,16,15,3UTR,,0,0
hsa-let-7b-3p,NM_004736,XPR1,5148,5165,0.846153846154,-19.7,0,7.756509e-06,0.426,0.0,0.0,-19.423879868695398,13,17,7,3UTR,,0,0
hsa-let-7c-5p,NM_004736,XPR1,1929,1953,1.0,-21.3,1,0.04037745,0.574,0.0,0.0,-4.993964104447428,19,24,8,CDS,,0,0
hsa-let-7c-5p,NM_004736,XPR1,1853,1871,1.0,-19.7,1,0.2647609,0.544,0.0,0.0,-7.483038834232987,14,18,11,CDS,,0,0
hsa-let-7c-3p,NM_004736,XPR1,8350,8366,0.961538461538,-18.3,1,0.008325655,0.721,0.0,0.0,-6.618099312767468,14,16,9,3UTR,,0,0
hsa-let-7d-5p,NM_004736,XPR1,8233,8255,1.0,-19.0,1,0.01326001,0.632,0.0,0.0,-5.892671223205703,19,22,8,3UTR,,0,0
hsa-let-7d-3p,NM_004736,XPR1,2849,2872,0.923076923077,-21.7,1,3.061005e-05,0.632,0.0,0.0,-10.457138073405861,19,23,8,3UTR,,0,0
hsa-let-7e-5p,NM_004736,XPR1,1931,1953,1.0,-20.3,1,0.04037745,0.574,0.0,0.0,-6.251209375382295,18,22,9,CDS,,0,0
hsa-let-7e-5p,NM_004736,XPR1,4218,4240,0.884615384615,-20.1,1,0.02882842,0.721,0.0,0.0,-6.106959766537749,19,22,10,3UTR,,0,0
