mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-let-7a-5p,NM_021219,JAM2,2827,2843,1.0,-18.6,1,0.06961125,0.412,0.0,0.0,-6.3934010304742,14,16,9,3UTR,,0,0
hsa-let-7a-2-3p,NM_021219,JAM2,1803,1843,0.846153846154,-18.9,1,0.1488163,0.559,0.0,0.0,-8.056611621014136,20,40,7,3UTR,,0,0
hsa-let-7a-2-3p,NM_021219,JAM2,157,186,0.846153846154,-17.7,1,2.168862e-06,0.294,0.0,0.0,-8.864139013454087,11,14,9,5UTR,,0,0
hsa-let-7b-5p,NM_021219,JAM2,2820,2843,0.923076923077,-21.4,1,0.06961125,0.412,0.0,0.0,-6.3934010304742,19,23,8,3UTR,,0,0
hsa-let-7c-5p,NM_021219,JAM2,2820,2843,0.846153846154,-19.9,1,0.06961125,0.412,0.0,0.0,-6.3934010304742,19,23,9,3UTR,,0,0
hsa-let-7d-5p,NM_021219,JAM2,2827,2843,1.0,-20.8,1,0.06961125,0.412,0.0,0.0,-6.3934010304742,14,16,9,3UTR,,0,0
hsa-let-7d-5p,NM_021219,JAM2,516,530,0.846153846154,-21.1,1,5.86486e-06,0.235,0.0,0.0,-7.757046662006918,12,14,6,5UTR,,0,0
hsa-let-7d-5p,NM_021219,JAM2,2152,2174,0.846153846154,-19.7,1,6.901865e-05,0.559,0.0,0.0,-5.892671223205703,18,22,11,3UTR,,0,0
hsa-let-7e-5p,NM_021219,JAM2,2827,2843,1.0,-24.5,1,0.06961125,0.412,0.0,0.0,-5.337011372228436,15,16,15,3UTR,,0,0
hsa-let-7e-5p,NM_021219,JAM2,2863,2881,1.0,-22.8,1,0.02098324,0.426,0.0,0.0,-5.226705058867908,15,18,12,3UTR,,0,0
hsa-let-7e-3p,NM_021219,JAM2,1947,1969,0.846153846154,-17.7,1,0.0001209829,0.5,0.0,0.0,-6.429733158800799,18,22,10,3UTR,,0,0
hsa-miR-15a-3p,NM_021219,JAM2,1945,1965,1.0,-23.0,1,0.0004876654,0.515,0.0,0.0,-8.683814681824792,17,20,9,3UTR,,0,0
hsa-miR-15a-3p,NM_021219,JAM2,2794,2825,0.846153846154,-22.4,1,8.133839e-05,0.353,0.0,0.0,-7.27063564855292,18,26,10,3UTR,,0,0
hsa-miR-17-5p,NM_021219,JAM2,2428,2469,0.923076923077,-19.1,1,0.004028094,0.485,0.0,0.0,-10.835693081304171,17,41,8,3UTR,,0,0
hsa-miR-17-3p,NM_021219,JAM2,2150,2171,0.846153846154,-18.8,1,0.005955873,0.559,0.0,0.0,-7.9900957423105305,15,21,6,3UTR,,0,0
hsa-miR-18a-5p,NM_021219,JAM2,3150,3172,0.923076923077,-20.3,1,7.46739e-06,0.412,0.0,0.0,-5.692450279622925,18,22,8,3UTR,,0,0
hsa-miR-18a-5p,NM_021219,JAM2,328,344,1.0,-18.9,1,1.883897e-05,0.353,0.0,0.0,-9.347665467099434,13,16,7,5UTR,,0,0
hsa-miR-18a-3p,NM_021219,JAM2,2792,2814,0.923076923077,-23.5,1,4.816174e-05,0.397,0.0,0.0,-7.255896845946231,18,22,9,3UTR,,0,1
hsa-miR-19a-5p,NM_021219,JAM2,954,999,0.846153846154,-20.7,1,0.0002529891,0.5,0.0,0.0,-4.6730240064523,20,24,7,CDS,,0,0
hsa-miR-19b-1-5p,NM_021219,JAM2,1165,1188,0.846153846154,-20.3,1,8.622359e-05,0.515,0.0,0.0,-8.66230783992333,17,23,10,CDS,,0,0
hsa-miR-19b-3p,NM_021219,JAM2,1957,1984,1.0,-18.1,1,0.002458963,0.529,0.0,0.0,-8.429258759619717,13,19,10,3UTR,,0,0
