mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-let-7a-2-3p,NM_020702,MYORG,651,667,0.923076923077,-21.6,1,1.925171e-06,0.265,0.0,0.0,-13.814891846259133,13,16,9,CDS,,0,0
hsa-let-7a-2-3p,NM_020702,MYORG,6210,6233,0.923076923077,-21.7,1,0.003818935,0.529,0.0,0.0,-13.647227447265154,16,23,7,3UTR,,0,0
hsa-let-7b-5p,NM_020702,MYORG,6289,6314,1.0,-23.6,1,0.01203996,0.603,0.0,0.0,-4.026373917660731,20,25,6,3UTR,,1,1
hsa-let-7b-5p,NM_020702,MYORG,131,152,0.948717948718,-21.8,1,2.677225e-05,0.426,0.0,0.0,-6.936790066878343,18,21,7,5UTR,,1,1
hsa-let-7b-3p,NM_020702,MYORG,4313,4339,1.0,-21.8,1,0.003423164,0.515,0.0,0.0,-17.012402953046756,15,21,12,3UTR,,0,0
hsa-let-7c-5p,NM_020702,MYORG,4958,4978,1.0,-19.7,1,0.006649406,0.456,0.0,0.0,-9.046177274673163,16,20,8,3UTR,,1,1
hsa-let-7d-5p,NM_020702,MYORG,265,287,0.846153846154,-21.0,1,0.07001673,0.382,0.0,0.0,-7.570929851924502,18,22,9,CDS,,1,1
hsa-let-7d-3p,NM_020702,MYORG,480,498,0.884615384615,-23.9,0,2.855631e-05,0.324,0.0,0.0,-16.30200796489408,15,18,8,CDS,,0,0
hsa-let-7d-3p,NM_020702,MYORG,3785,3809,0.846153846154,-21.5,1,9.662327e-05,0.471,0.0,0.0,-8.056611621014136,16,24,12,3UTR,,0,0
hsa-let-7e-5p,NM_020702,MYORG,2493,2510,1.0,-21.2,1,0.01415533,0.412,0.0,0.0,-5.495113920508112,15,17,13,3UTR,,1,1
hsa-let-7e-5p,NM_020702,MYORG,2397,2413,0.923076923077,-21.0,1,0.04786038,0.456,0.0,0.0,-6.072460932479071,13,16,7,3UTR,,1,1
hsa-let-7e-3p,NM_020702,MYORG,6210,6226,1.0,-22.0,0,0.0002701288,0.515,0.0,0.0,-17.712528934830097,13,16,7,3UTR,,0,0
hsa-let-7f-1-3p,NM_020702,MYORG,5751,5767,0.884615384615,-21.3,1,0.02314415,0.588,0.0,0.0,-21.126308041123355,14,16,9,3UTR,,0,0
hsa-miR-15a-5p,NM_020702,MYORG,1144,1171,0.846153846154,-19.0,1,0.001706593,0.353,0.0,0.0,-13.660215585373416,13,22,7,CDS,,0,0
hsa-miR-15a-3p,NM_020702,MYORG,659,684,0.846153846154,-28.9,1,1.457663e-07,0.221,0.0,0.0,-12.918566512237907,16,25,10,CDS,,0,0
hsa-miR-15a-3p,NM_020702,MYORG,369,392,1.0,-23.7,1,3.842005e-09,0.324,0.0,0.0,-12.641097438085927,16,23,8,CDS,,0,0
hsa-miR-16-5p,NM_020702,MYORG,2244,2258,0.923076923077,-18.6,1,0.0001251055,0.441,0.0,0.0,-14.3218782614329,13,14,13,CDS,,0,0
hsa-miR-18a-5p,NM_020702,MYORG,1304,1345,1.0,-23.4,1,0.0002933613,0.353,0.0,0.0,-7.249989753929374,16,21,11,CDS,,0,0
hsa-miR-18a-5p,NM_020702,MYORG,1421,1441,0.846153846154,-22.7,1,8.224083e-08,0.294,0.0,0.0,-7.757046662006918,18,20,15,CDS,,0,0
hsa-miR-18a-3p,NM_020702,MYORG,3975,4008,0.878205128205,-25.4,1,0.000486243,0.544,0.0,0.0,-13.697178970448556,17,33,8,3UTR,,0,0
hsa-miR-18a-3p,NM_020702,MYORG,2887,2910,0.923076923077,-23.8,1,5.584267e-05,0.441,0.0,0.0,-11.173695393771377,17,23,7,3UTR,,0,0
hsa-miR-18a-3p,NM_020702,MYORG,4578,4602,0.923076923077,-23.4,1,0.01092147,0.588,0.0,0.0,-6.246131332038532,19,24,10,3UTR,,0,0
hsa-miR-19a-5p,NM_020702,MYORG,1721,1747,0.846153846154,-19.2,1,0.0005735112,0.353,0.0,0.0,-3.937574446201665,20,26,10,CDS,,0,0
hsa-miR-19b-1-5p,NM_020702,MYORG,5517,5543,0.961538461538,-24.5,1,7.720234e-05,0.515,0.0,0.0,-4.026373917660731,21,26,10,3UTR,,0,0
hsa-miR-19b-1-5p,NM_020702,MYORG,3010,3037,0.846153846154,-22.2,1,0.0003387873,0.441,0.0,0.0,-4.026373917660731,18,22,14,3UTR,,0,0
hsa-miR-19b-3p,NM_020702,MYORG,5131,5147,0.923076923077,-17.2,1,0.0005912664,0.559,0.0,0.0,-7.650646301409068,13,16,8,3UTR,,0,0
hsa-miR-19b-2-5p,NM_020702,MYORG,3022,3037,0.923076923077,-17.9,1,0.0003387873,0.441,0.0,0.0,-4.026373917660731,14,15,14,3UTR,,0,0
hsa-miR-22-5p,NM_020702,MYORG,5159,5196,0.846153846154,-22.8,1,9.254816e-05,0.471,0.0,0.0,-3.793324837357118,20,37,12,3UTR,,0,0
hsa-miR-22-3p,NM_020702,MYORG,2017,2038,0.923076923077,-21.8,1,1.767552e-05,0.324,0.0,0.0,-7.803670806344982,17,21,9,CDS,,0,0
hsa-miR-22-3p,NM_020702,MYORG,434,467,1.0,-21.6,1,3.241324e-06,0.382,0.0,0.0,-6.083544976388314,18,33,12,CDS,,0,0
