mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-let-7a-5p,NM_002609,PDGFRB,3980,4004,1.0,-19.8,1,1.3226e-05,0.368,0.0,0.0,-6.3252700442346725,12,16,7,3UTR,,0,0
hsa-let-7a-5p,NM_002609,PDGFRB,3241,3259,1.0,-19.0,1,0.003132771,0.426,0.0,0.0,-4.026373917660731,14,18,8,CDS,,0,0
hsa-let-7a-2-3p,NM_002609,PDGFRB,5423,5447,0.846153846154,-29.5,1,0.003022605,0.294,0.0,0.0,-7.794895910253615,20,24,12,3UTR,,0,0
hsa-let-7b-5p,NM_002609,PDGFRB,5036,5063,1.0,-25.2,1,0.003883913,0.412,0.0,0.0,-6.2305634807587476,20,27,8,3UTR,,0,0
hsa-let-7b-3p,NM_002609,PDGFRB,377,397,0.923076923077,-20.9,0,0.003121589,0.426,0.0,0.0,-17.522921107502352,15,20,10,5UTR,,0,0
hsa-let-7b-3p,NM_002609,PDGFRB,5386,5404,0.923076923077,-20.6,1,0.0005420102,0.324,0.0,0.0,-12.919167058989059,16,18,10,3UTR,,0,0
hsa-let-7b-3p,NM_002609,PDGFRB,5525,5542,0.923076923077,-20.4,0,0.0001879117,0.5,0.0,0.0,-16.30200796489408,14,17,8,3UTR,,0,0
hsa-let-7c-5p,NM_002609,PDGFRB,3237,3259,0.846153846154,-21.0,1,0.003132771,0.426,0.0,0.0,-4.026373917660731,18,22,12,CDS,,0,0
hsa-let-7c-3p,NM_002609,PDGFRB,5423,5447,0.923076923077,-28.7,1,0.003022605,0.294,0.0,0.0,-7.794895910253615,20,24,10,3UTR,,0,0
hsa-let-7d-5p,NM_002609,PDGFRB,190,209,0.846153846154,-20.3,1,1.16188e-06,0.294,0.0,0.0,-5.694283598550164,17,19,9,5UTR,,0,0
hsa-let-7d-5p,NM_002609,PDGFRB,1321,1341,0.923076923077,-20.1,1,2.411409e-05,0.441,0.0,0.0,-7.236136814494244,16,20,11,CDS,,0,0
hsa-let-7d-5p,NM_002609,PDGFRB,1066,1089,0.846153846154,-19.8,1,0.009329418,0.485,0.0,0.0,-8.561886198931896,18,23,9,CDS,,0,0
hsa-let-7e-5p,NM_002609,PDGFRB,3526,3550,0.923076923077,-22.4,1,0.1187993,0.412,0.0,0.0,-7.632887409211258,19,24,7,CDS,,0,0
hsa-let-7e-5p,NM_002609,PDGFRB,3980,4004,0.923076923077,-19.9,1,1.3226e-05,0.368,0.0,0.0,-5.2688803859889095,13,16,8,3UTR,,0,0
hsa-let-7e-5p,NM_002609,PDGFRB,260,276,0.923076923077,-19.6,1,0.1838173,0.353,0.0,0.0,-6.936790066878343,13,16,6,5UTR,,0,0
