mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-let-7a-5p,NM_006749,SLC20A2,86,105,0.923076923077,-17.0,1,0.0002381906,0.426,0.0,0.0,-6.662782239104412,15,19,12,5UTR,,0,0
hsa-let-7a-2-3p,NM_006749,SLC20A2,22,45,0.923076923077,-21.1,1,0.0004756505,0.397,0.0,0.0,-6.674744927794402,17,23,8,5UTR,,0,1
hsa-let-7b-5p,NM_006749,SLC20A2,2367,2392,0.923076923077,-22.3,1,0.0005806493,0.382,0.0,0.0,-5.180080914529843,20,25,7,CDS,,0,0
hsa-let-7c-5p,NM_006749,SLC20A2,2706,2745,1.0,-21.3,1,0.007160012,0.368,0.0,0.0,-6.09222096393106,19,39,9,3UTR,,0,0
hsa-let-7c-3p,NM_006749,SLC20A2,925,947,0.846153846154,-18.1,1,0.0003424105,0.441,0.0,0.0,-19.837177428457107,15,22,10,CDS,,0,1
hsa-let-7d-3p,NM_006749,SLC20A2,1550,1572,0.923076923077,-18.9,0,2.143141e-07,0.353,0.0,0.0,-17.522921107502352,14,22,8,CDS,,0,0
hsa-let-7e-5p,NM_006749,SLC20A2,2730,2745,1.0,-17.6,1,0.007160012,0.368,0.0,0.0,-5.2688803859889095,13,15,8,3UTR,,0,0
hsa-let-7e-3p,NM_006749,SLC20A2,3516,3549,1.0,-23.4,1,1.564902e-05,0.471,0.0,0.0,-6.251209375382295,18,23,7,3UTR,,0,0
hsa-miR-15a-5p,NM_006749,SLC20A2,3830,3851,0.846153846154,-17.7,1,0.01304877,0.676,0.0,0.0,-12.408048357782313,15,21,8,3UTR,,1,1
hsa-miR-15a-3p,NM_006749,SLC20A2,3802,3831,1.0,-22.2,1,0.02243275,0.588,0.0,0.0,-4.993964104447428,19,29,7,3UTR,,0,0
hsa-miR-16-5p,NM_006749,SLC20A2,3825,3851,1.0,-18.3,1,0.01304877,0.676,0.0,0.0,-7.052043616942562,15,26,8,3UTR,,1,1
hsa-miR-16-1-3p,NM_006749,SLC20A2,1523,1544,0.846153846154,-24.7,1,0.0004791785,0.309,0.0,0.0,-9.426559946634898,16,21,7,CDS,,0,0
hsa-miR-17-5p,NM_006749,SLC20A2,1001,1021,1.0,-22.1,1,6.924405e-05,0.5,0.0,0.0,-8.415498954871785,17,20,13,CDS,,0,0
hsa-miR-17-5p,NM_006749,SLC20A2,2551,2572,0.923076923077,-22.2,1,6.99599e-06,0.412,0.0,0.0,-7.9900957423105305,16,21,6,CDS,,0,0
hsa-miR-17-3p,NM_006749,SLC20A2,3134,3182,0.923076923077,-27.7,1,0.002607168,0.559,0.0,0.0,-6.825347112316308,18,21,16,3UTR,,0,0
hsa-miR-18a-5p,NM_006749,SLC20A2,1038,1079,0.923076923077,-22.5,1,0.001001108,0.544,0.0,0.0,-10.457138073405861,17,23,6,CDS,,0,0
hsa-miR-18a-3p,NM_006749,SLC20A2,1528,1572,0.846153846154,-24.6,1,2.143141e-07,0.353,0.0,0.0,-7.075458407091997,19,25,13,CDS,,0,0
hsa-miR-19b-1-5p,NM_006749,SLC20A2,2473,2497,0.846153846154,-24.2,1,2.356548e-05,0.338,0.0,0.0,-9.86294710701364,19,24,8,CDS,,0,0
hsa-miR-19b-1-5p,NM_006749,SLC20A2,74,96,1.0,-20.5,1,0.007330496,0.426,0.0,0.0,-7.373177227257086,17,22,10,5UTR,,0,0
hsa-miR-19b-2-5p,NM_006749,SLC20A2,81,96,0.923076923077,-16.9,1,0.007330496,0.426,0.0,0.0,-7.373177227257086,13,15,10,5UTR,,0,0
hsa-miR-21-3p,NM_006749,SLC20A2,759,780,0.846153846154,-22.1,1,9.604136e-06,0.441,0.0,0.0,-9.03925358921928,17,21,8,CDS,,0,0
hsa-miR-21-3p,NM_006749,SLC20A2,2244,2271,0.846153846154,-21.0,1,0.0001982436,0.471,0.0,0.0,-5.694283598550164,18,22,9,CDS,,0,0
hsa-miR-22-5p,NM_006749,SLC20A2,3941,3958,1.0,-21.3,1,0.0004014297,0.75,0.0,0.0,-16.49037411886075,15,17,10,3UTR,,0,0
hsa-miR-22-5p,NM_006749,SLC20A2,3155,3183,1.0,-19.1,1,0.003042868,0.574,0.0,0.0,-7.371380111199145,14,16,14,3UTR,,0,0
hsa-miR-22-3p,NM_006749,SLC20A2,945,966,0.923076923077,-20.3,1,6.050318e-06,0.471,0.0,0.0,-12.799698568463043,14,21,8,CDS,,0,0
hsa-miR-22-3p,NM_006749,SLC20A2,1554,1573,0.846153846154,-18.6,1,1.112532e-07,0.353,0.0,0.0,-9.360193687214407,14,19,6,CDS,,0,0
hsa-miR-23a-5p,NM_006749,SLC20A2,1735,1759,0.846153846154,-33.6,1,0.006846046,0.441,0.0,0.0,-10.10915223120837,20,24,10,CDS,,0,0
hsa-miR-23a-3p,NM_006749,SLC20A2,3321,3341,0.923076923077,-19.3,1,0.001109547,0.529,0.0,0.0,-7.371380111199145,17,20,7,3UTR,,0,0
hsa-miR-23a-3p,NM_006749,SLC20A2,1590,1625,0.846153846154,-18.8,1,0.003394933,0.441,0.0,0.0,-7.883695381712681,12,17,5,CDS,,0,0
hsa-miR-24-1-5p,NM_006749,SLC20A2,2654,2673,1.0,-21.2,1,0.003774059,0.456,0.0,0.0,-9.569531775126862,16,19,11,3UTR,,0,0
hsa-miR-24-1-5p,NM_006749,SLC20A2,2451,2469,0.923076923077,-19.1,1,7.69983e-06,0.324,0.0,0.0,-4.650164754877524,14,18,9,CDS,,0,0
hsa-miR-24-3p,NM_006749,SLC20A2,2531,2562,0.923076923077,-21.2,1,6.191091e-06,0.397,0.0,0.0,-9.964902622363823,16,19,14,CDS,,0,0
hsa-miR-24-2-5p,NM_006749,SLC20A2,1894,1913,1.0,-20.1,1,4.469887e-05,0.382,0.0,0.0,-6.819302662522082,15,19,12,CDS,,0,0
hsa-miR-25-5p,NM_006749,SLC20A2,2726,2744,1.0,-20.7,1,0.007087439,0.382,0.0,0.0,-5.915530474780478,15,18,9,3UTR,,0,0
hsa-miR-25-3p,NM_006749,SLC20A2,326,359,0.846153846154,-25.0,1,1.401004e-08,0.206,0.0,0.0,-10.403402386158335,15,17,15,5UTR,,0,0
hsa-miR-26a-1-3p,NM_006749,SLC20A2,2864,2911,0.846153846154,-20.5,1,0.003416374,0.735,0.0,0.0,-7.284377755798021,20,47,8,3UTR,,0,0
hsa-miR-26b-3p,NM_006749,SLC20A2,11,34,0.846153846154,-24.6,1,9.789865e-09,0.397,0.0,0.0,-6.083544976388314,18,23,7,5UTR,,0,0
hsa-miR-26b-3p,NM_006749,SLC20A2,113,130,0.846153846154,-20.2,1,1.166789e-05,0.485,0.0,0.0,-13.697178970448556,16,17,16,5UTR,,0,0
hsa-miR-27a-5p,NM_006749,SLC20A2,2156,2208,0.923076923077,-23.1,1,3.102054e-05,0.485,0.0,0.0,-7.1080492929027015,20,52,13,CDS,,0,0
hsa-miR-27a-5p,NM_006749,SLC20A2,2237,2257,1.0,-23.5,1,0.0005149979,0.471,0.0,0.0,-10.04636985366625,15,20,9,CDS,,0,0
hsa-miR-27a-5p,NM_006749,SLC20A2,1514,1533,0.923076923077,-23.3,1,1.345523e-06,0.382,0.0,0.0,-11.86019739781856,16,19,10,CDS,,0,0
hsa-miR-27a-5p,NM_006749,SLC20A2,490,523,0.923076923077,-22.6,1,0.01150293,0.529,0.0,0.0,-4.528774397607753,18,33,8,5UTR,,0,0
hsa-miR-27a-3p,NM_006749,SLC20A2,924,958,0.923076923077,-20.8,1,0.0008057139,0.441,0.0,0.0,-5.692450279622925,17,34,8,CDS,,0,0
hsa-miR-27a-3p,NM_006749,SLC20A2,3320,3341,0.846153846154,-20.2,1,0.001109547,0.529,0.0,0.0,-8.058226728550057,16,21,7,3UTR,,0,0
hsa-miR-28-5p,NM_006749,SLC20A2,1700,1718,1.0,-18.4,1,0.00539905,0.5,0.0,0.0,-9.02428166311082,15,18,8,CDS,,0,0
hsa-miR-28-3p,NM_006749,SLC20A2,3153,3170,0.923076923077,-25.0,1,2.530465e-05,0.5,0.0,0.0,-13.814891846259133,16,17,16,3UTR,,0,0
hsa-miR-28-3p,NM_006749,SLC20A2,763,784,1.0,-21.1,1,4.948361e-05,0.456,0.0,0.0,-8.663307682805062,18,21,10,CDS,,0,0
hsa-miR-29a-3p,NM_006749,SLC20A2,715,735,0.846153846154,-18.1,1,0.003659078,0.559,0.0,0.0,-9.071213933332016,16,20,6,CDS,,0,0
hsa-miR-31-5p,NM_006749,SLC20A2,2706,2744,0.846153846154,-22.4,1,0.007087439,0.382,0.0,0.0,-4.993964104447428,20,29,8,3UTR,,0,0
hsa-miR-31-5p,NM_006749,SLC20A2,951,974,0.923076923077,-21.5,1,2.816671e-05,0.441,0.0,0.0,-8.851285568499378,17,23,7,CDS,,0,0
hsa-miR-31-3p,NM_006749,SLC20A2,2649,2669,1.0,-21.3,1,0.01387652,0.441,0.0,0.0,-7.483038834232987,16,20,11,3UTR,,0,0
hsa-miR-33a-3p,NM_006749,SLC20A2,3131,3148,0.923076923077,-17.7,1,1.270941e-05,0.397,0.0,0.0,-6.514540193678739,14,17,11,3UTR,,0,0
hsa-miR-33a-3p,NM_006749,SLC20A2,1005,1017,0.923076923077,-16.9,0,4.111849e-05,0.515,0.0,0.0,-17.110244939514768,11,12,11,CDS,,0,0
hsa-miR-92a-1-5p,NM_006749,SLC20A2,2178,2207,1.0,-24.2,1,0.0001519199,0.485,0.0,0.0,-4.6730240064523,21,29,9,CDS,,0,0
hsa-miR-92a-1-5p,NM_006749,SLC20A2,3447,3484,0.884615384615,-23.8,1,0.4481189,0.382,0.0,0.0,-7.560796672566943,19,37,7,3UTR,,0,0
