,miRNA,G1,G1 Target Score,G2,G2 Target Score,Average
0,hsa-miR-30d-5p,XPR1,96,JAM2,57,76
1,hsa-miR-30a-5p,XPR1,96,JAM2,57,76
2,hsa-miR-30c-5p,XPR1,96,JAM2,57,76
3,hsa-miR-30e-5p,XPR1,96,JAM2,57,76
4,hsa-miR-30b-5p,XPR1,96,JAM2,57,76
5,hsa-miR-6878-5p,XPR1,94,JAM2,54,74
6,hsa-miR-7154-5p,XPR1,92,JAM2,61,76
7,hsa-miR-548h-3p,XPR1,83,JAM2,76,79
8,hsa-miR-548d-3p,XPR1,83,JAM2,76,79
9,hsa-miR-548bb-3p,XPR1,83,JAM2,76,79
10,hsa-miR-548z,XPR1,83,JAM2,76,79
11,hsa-miR-548ac,XPR1,83,JAM2,76,79
12,hsa-miR-518a-5p,XPR1,82,JAM2,83,82
13,hsa-miR-3662,XPR1,82,JAM2,78,80
14,hsa-miR-527,XPR1,82,JAM2,83,82
15,hsa-miR-548ap-3p,XPR1,78,JAM2,51,64
16,hsa-miR-548t-3p,XPR1,78,JAM2,51,64
17,hsa-miR-548aa,XPR1,78,JAM2,51,64
18,hsa-miR-373-5p,XPR1,75,JAM2,68,71
19,hsa-miR-548ax,XPR1,75,JAM2,53,64
20,hsa-miR-616-5p,XPR1,75,JAM2,68,71
21,hsa-miR-371b-5p,XPR1,75,JAM2,68,71
22,hsa-miR-548ao-5p,XPR1,75,JAM2,53,64
23,hsa-miR-3613-3p,XPR1,72,JAM2,64,68
24,hsa-miR-382-5p,XPR1,70,JAM2,83,76
25,hsa-miR-877-3p,XPR1,70,JAM2,82,76
26,hsa-miR-10393-5p,XPR1,66,JAM2,87,76
27,hsa-miR-7977,XPR1,63,JAM2,54,58
28,hsa-miR-4524a-3p,XPR1,60,JAM2,60,60
29,hsa-miR-6824-5p,XPR1,57,JAM2,57,57
30,hsa-miR-3149,XPR1,57,JAM2,79,68
31,hsa-miR-12124,XPR1,57,JAM2,63,60
