,mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,TargetScan,miRDB,refseqid_1,genesymbol_1,start_1,end_1,bindingp_1,energy_1,seed_1,accessibility_1,au_1,phylopstem_1,phylopflank_1,me_1,number_of_pairings_1,binding_region_length_1,longest_consecutive_pairings_1,position_1,TargetScan_1,miRDB_1,refseqid_2,genesymbol_2,start_2,end_2,bindingp_2,energy_2,seed_2,accessibility_2,au_2,phylopstem_2,phylopflank_2,me_2,number_of_pairings_2,binding_region_length_2,longest_consecutive_pairings_2,position_2,TargetScan_2,miRDB_2,refseqid_3,genesymbol_3,start_3,end_3,bindingp_3,energy_3,seed_3,accessibility_3,au_3,phylopstem_3,phylopflank_3,me_3,number_of_pairings_3,binding_region_length_3,longest_consecutive_pairings_3,position_3,TargetScan_3,miRDB_3,refseqid_4,genesymbol_4,start_4,end_4,bindingp_4,energy_4,seed_4,accessibility_4,au_4,phylopstem_4,phylopflank_4,me_4,number_of_pairings_4,binding_region_length_4,longest_consecutive_pairings_4,position_4,TargetScan_4,miRDB_4,refseqid_5,genesymbol_5,start_5,end_5,bindingp_5,energy_5,seed_5,accessibility_5,au_5,phylopstem_5,phylopflank_5,me_5,number_of_pairings_5,binding_region_length_5,longest_consecutive_pairings_5,position_5,TargetScan_5,miRDB_5
1,hsa-let-7b-5p,NM_006749,SLC20A2,2367,2392,0.923076923077,-22.3,1,0.0005806493,0.382,0.0,0.0,-5.180080914529842,20,25,7,CDS,0,0,NM_020702,MYORG,6289,6314,1.0,-23.6,1,0.01203996,0.603,0.0,0.0,-4.026373917660732,20,25,6,3UTR,1,1,NM_004736,XPR1,2339,2364,1.0,-24.3,1,0.1894182,0.544,0.0,0.0,-6.106959766537749,20,25,8,3UTR,0,0,NM_002608,PDGFB,2274,2297,0.923076923077,-25.5,1,5.439747e-07,0.324,0.0,0.0,-5.180080914529842,18,23,9,3UTR,1,1,NM_002609,PDGFRB,5036,5063,1.0,-25.2,1,0.0038839129999999997,0.41200000000000003,0.0,0.0,-6.230563480758748,20,27,8,3UTR,0,0,NM_021219,JAM2,2820,2843,0.923076923077,-21.4,1,0.06961125,0.41200000000000003,0.0,0.0,-6.3934010304742,19,23,8,3UTR,0,0
2,hsa-let-7c-5p,NM_006749,SLC20A2,2706,2745,1.0,-21.3,1,0.0071600119999999995,0.368,0.0,0.0,-6.09222096393106,19,39,9,3UTR,0,0,NM_020702,MYORG,4958,4978,1.0,-19.7,1,0.006649406,0.456,0.0,0.0,-9.046177274673164,16,20,8,3UTR,1,1,NM_004736,XPR1,1929,1953,1.0,-21.3,1,0.04037745,0.574,0.0,0.0,-4.993964104447428,19,24,8,CDS,0,0,NM_002608,PDGFB,2274,2297,0.846153846154,-22.9,1,5.439747e-07,0.324,0.0,0.0,-5.180080914529842,18,23,9,3UTR,1,1,NM_002609,PDGFRB,3237,3259,0.846153846154,-21.0,1,0.003132771,0.426,0.0,0.0,-4.026373917660732,18,22,12,CDS,0,0,NM_021219,JAM2,2820,2843,0.846153846154,-19.9,1,0.06961125,0.41200000000000003,0.0,0.0,-6.3934010304742,19,23,9,3UTR,0,0
3,hsa-let-7e-5p,NM_006749,SLC20A2,2730,2745,1.0,-17.6,1,0.0071600119999999995,0.368,0.0,0.0,-5.2688803859889095,13,15,8,3UTR,0,0,NM_020702,MYORG,2493,2510,1.0,-21.2,1,0.01415533,0.41200000000000003,0.0,0.0,-5.495113920508111,15,17,13,3UTR,1,1,NM_004736,XPR1,1931,1953,1.0,-20.3,1,0.04037745,0.574,0.0,0.0,-6.251209375382294,18,22,9,CDS,0,0,NM_033016,PDGFB,2032,2050,0.846153846154,-20.7,1,1.7529160000000002e-05,0.353,0.0,0.0,-5.350864311663567,16,18,8,3UTR,1,1,NM_002609,PDGFRB,3526,3550,0.923076923077,-22.4,1,0.1187993,0.41200000000000003,0.0,0.0,-7.632887409211258,19,24,7,CDS,0,0,NM_021219,JAM2,2827,2843,1.0,-24.5,1,0.06961125,0.41200000000000003,0.0,0.0,-5.337011372228437,15,16,15,3UTR,0,0
4,hsa-let-7e-3p,NM_006749,SLC20A2,3516,3549,1.0,-23.4,1,1.564902e-05,0.47100000000000003,0.0,0.0,-6.251209375382294,18,23,7,3UTR,0,0,NM_020702,MYORG,6210,6226,1.0,-22.0,0,0.0002701288,0.515,0.0,0.0,-17.712528934830093,13,16,7,3UTR,0,0,NM_004736,XPR1,5146,5164,0.846153846154,-20.4,1,2.70851e-06,0.426,0.0,0.0,-9.957570382207184,14,18,10,3UTR,0,0,NM_002608,PDGFB,2986,3019,0.846153846154,-20.2,1,0.0049595970000000005,0.41200000000000003,0.0,0.0,-3.9375744462016646,22,33,7,3UTR,0,0,NM_002609,PDGFRB,2670,2694,0.846153846154,-22.2,1,0.0007569552000000001,0.41200000000000003,0.0,0.0,-14.374634335388574,17,24,7,CDS,0,0,NM_021219,JAM2,1947,1969,0.846153846154,-17.7,1,0.00012098290000000001,0.5,0.0,0.0,-6.429733158800799,18,22,10,3UTR,0,0
5,hsa-miR-15a-3p,NM_006749,SLC20A2,3802,3831,1.0,-22.2,1,0.02243275,0.588,0.0,0.0,-4.993964104447428,19,29,7,3UTR,0,0,NM_020702,MYORG,659,684,0.846153846154,-28.9,1,1.4576629999999999e-07,0.221,0.0,0.0,-12.91856651223791,16,25,10,CDS,0,0,NM_004736,XPR1,8323,8340,1.0,-21.7,1,0.01491762,0.6759999999999999,0.0,0.0,-4.170623526505279,15,17,12,3UTR,0,0,NM_002608,PDGFB,922,940,0.846153846154,-24.4,1,1.245755e-06,0.147,0.0,0.0,-13.937992785408532,12,18,8,5UTR,0,0,NM_002609,PDGFRB,5292,5322,0.846153846154,-28.4,1,0.0014028629999999999,0.41200000000000003,0.0,0.0,-3.793324837357118,21,30,11,3UTR,0,0,NM_021219,JAM2,1945,1965,1.0,-23.0,1,0.0004876654,0.515,0.0,0.0,-8.683814681824792,17,20,9,3UTR,0,0
6,hsa-miR-18a-3p,NM_006749,SLC20A2,1528,1572,0.846153846154,-24.6,1,2.143141e-07,0.353,0.0,0.0,-7.075458407091997,19,25,13,CDS,0,0,NM_020702,MYORG,3975,4008,0.878205128205,-25.4,1,0.000486243,0.544,0.0,0.0,-13.697178970448553,17,33,8,3UTR,0,0,NM_004736,XPR1,18,42,0.846153846154,-23.1,1,0.01895768,0.27899999999999997,0.0,0.0,-12.519760981188286,15,24,8,5UTR,0,0,NM_002608,PDGFB,3000,3025,0.923076923077,-25.4,1,0.000287524,0.397,0.0,0.0,-6.1388451082691216,18,25,11,3UTR,0,1,NM_002609,PDGFRB,207,229,1.0,-25.4,1,3.6479390000000004e-07,0.324,0.0,0.0,-7.826436638681262,20,22,18,5UTR,0,0,NM_021219,JAM2,2792,2814,0.923076923077,-23.5,1,4.816174e-05,0.397,0.0,0.0,-7.255896845946231,18,22,9,3UTR,0,1
7,hsa-miR-19b-2-5p,NM_006749,SLC20A2,81,96,0.923076923077,-16.9,1,0.007330496,0.426,0.0,0.0,-7.373177227257086,13,15,10,5UTR,0,0,NM_020702,MYORG,3022,3037,0.923076923077,-17.9,1,0.00033878730000000006,0.441,0.0,0.0,-4.026373917660732,14,15,14,3UTR,0,0,NM_004736,XPR1,5298,5321,0.923076923077,-21.6,1,0.002812737,0.485,0.0,0.0,-5.337011372228437,18,23,7,3UTR,0,0,NM_002608,PDGFB,3647,3672,0.846153846154,-20.6,1,1.009526e-05,0.397,0.0,0.0,-9.546562468637928,12,14,12,3UTR,0,0,NM_002609,PDGFRB,5437,5483,0.846153846154,-19.1,1,1.824118e-05,0.397,0.0,0.0,-10.94438428712878,18,46,10,3UTR,0,0,NM_021219,JAM2,672,696,1.0,-17.9,1,0.0617682,0.5589999999999999,0.0,0.0,-5.6186633954317715,12,14,12,CDS,0,0
8,hsa-miR-23a-5p,NM_006749,SLC20A2,1735,1759,0.846153846154,-33.6,1,0.006846046,0.441,0.0,0.0,-10.10915223120837,20,24,10,CDS,0,0,NM_020702,MYORG,755,787,0.923076923077,-32.2,1,2.6635040000000004e-05,0.353,0.0,0.0,-3.9375744462016646,18,32,9,CDS,0,0,NM_004736,XPR1,5943,5963,1.0,-29.4,1,9.217792999999999e-05,0.544,0.0,0.0,-8.913451538534543,16,20,8,3UTR,0,0,NM_002608,PDGFB,135,160,0.846153846154,-27.9,1,0.0004977008000000001,0.27899999999999997,0.0,0.0,-8.056611621014138,17,25,9,5UTR,0,0,NM_002609,PDGFRB,4925,4943,0.846153846154,-31.9,1,0.0004733142,0.368,0.0,0.0,-10.693019942457818,15,18,8,3UTR,0,0,NM_021219,JAM2,321,345,0.923076923077,-29.8,1,1.210567e-06,0.353,0.0,0.0,-3.793324837357118,17,24,12,5UTR,0,0
9,hsa-miR-23a-3p,NM_006749,SLC20A2,3321,3341,0.923076923077,-19.3,1,0.001109547,0.529,0.0,0.0,-7.371380111199144,17,20,7,3UTR,0,0,NM_020702,MYORG,5172,5214,0.923076923077,-21.4,1,0.01727673,0.41200000000000003,0.0,0.0,-5.190049799675903,18,27,9,3UTR,0,0,NM_004736,XPR1,3302,3319,1.0,-17.2,1,0.0032100329999999997,0.5589999999999999,0.0,0.0,-6.936790066878342,15,17,11,3UTR,0,0,NM_002608,PDGFB,3755,3781,0.846153846154,-21.5,1,0.001520984,0.424,0.0,0.0,-9.546562468637928,13,15,13,3UTR,0,0,NM_002609,PDGFRB,4107,4126,0.846153846154,-19.0,1,6.32576e-08,0.441,0.0,0.0,-9.551605062602114,12,19,8,3UTR,0,0,NM_021219,JAM2,2066,2085,0.923076923077,-20.1,1,0.0021149579999999997,0.544,0.0,0.0,-7.236136814494244,15,19,11,3UTR,0,0
10,hsa-miR-24-1-5p,NM_006749,SLC20A2,2654,2673,1.0,-21.2,1,0.003774059,0.456,0.0,0.0,-9.569531775126864,16,19,11,3UTR,0,0,NM_020702,MYORG,4255,4276,0.923076923077,-20.4,1,5.645249e-05,0.588,0.0,0.0,-7.991346406196866,17,21,7,3UTR,0,0,NM_004736,XPR1,275,301,0.923076923077,-25.7,1,0.001454674,0.529,0.0,0.0,-6.071582287698324,18,26,9,CDS,0,0,NM_002608,PDGFB,3225,3238,1.0,-20.9,1,2.413859e-05,0.41200000000000003,0.0,0.0,-7.075458407091997,12,13,12,3UTR,0,0,NM_002609,PDGFRB,5360,5375,1.0,-22.7,1,1.022074e-06,0.41200000000000003,0.0,0.0,-6.1485795550840905,13,15,9,3UTR,0,0,NM_021219,JAM2,332,371,1.0,-19.0,1,0.000143688,0.324,0.0,0.0,-7.719171897350176,11,15,5,5UTR,0,0
